0.000,0.036,0.048,0.229,0.243,0.180,0.205,0.222,0.144,0.204,0.204,0.198,0.216,0.169,0.099,0.170,0.244,0.156,0.169,0.160,0.161,0.111,0.133,0.182,0.157
0.036,0.000,0.065,0.223,0.230,0.189,0.204,0.226,0.145,0.229,0.200,0.195,0.205,0.163,0.115,0.169,0.243,0.157,0.169,0.158,0.159,0.104,0.133,0.181,0.157
0.048,0.065,0.000,0.242,0.254,0.189,0.219,0.238,0.168,0.233,0.216,0.209,0.226,0.181,0.133,0.184,0.257,0.172,0.183,0.175,0.175,0.122,0.149,0.196,0.173
0.229,0.223,0.242,0.000,0.057,0.217,0.221,0.222,0.206,0.195,0.170,0.089,0.040,0.248,0.181,0.187,0.236,0.211,0.151,0.185,0.153,0.140,0.126,0.173,0.149
0.243,0.230,0.254,0.057,0.000,0.227,0.228,0.230,0.218,0.207,0.177,0.099,0.028,0.254,0.189,0.195,0.242,0.218,0.146,0.195,0.160,0.148,0.135,0.182,0.159
0.180,0.189,0.189,0.217,0.227,0.000,0.225,0.158,0.153,0.175,0.149,0.172,0.209,0.184,0.137,0.094,0.189,0.201,0.141,0.184,0.108,0.125,0.109,0.157,0.133
0.205,0.204,0.219,0.221,0.228,0.225,0.000,0.215,0.181,0.217,0.174,0.181,0.201,0.212,0.151,0.181,0.231,0.168,0.156,0.052,0.148,0.105,0.122,0.170,0.145
0.222,0.226,0.238,0.222,0.230,0.158,0.215,0.000,0.185,0.172,0.115,0.173,0.203,0.213,0.174,0.087,0.136,0.190,0.132,0.169,0.075,0.126,0.096,0.145,0.120
0.144,0.145,0.168,0.206,0.218,0.153,0.181,0.185,0.000,0.178,0.181,0.163,0.192,0.145,0.096,0.122,0.220,0.156,0.145,0.136,0.138,0.083,0.109,0.159,0.133
0.204,0.229,0.233,0.195,0.207,0.175,0.217,0.172,0.178,0.000,0.165,0.167,0.179,0.209,0.160,0.133,0.207,0.193,0.132,0.169,0.124,0.124,0.098,0.146,0.120
0.204,0.200,0.216,0.170,0.177,0.149,0.174,0.115,0.181,0.165,0.000,0.132,0.156,0.206,0.146,0.079,0.129,0.164,0.103,0.143,0.045,0.100,0.070,0.117,0.093
0.198,0.195,0.209,0.089,0.099,0.172,0.181,0.173,0.163,0.167,0.132,0.000,0.072,0.196,0.143,0.136,0.194,0.171,0.123,0.150,0.114,0.101,0.088,0.135,0.112
0.216,0.205,0.226,0.040,0.028,0.209,0.201,0.203,0.192,0.179,0.156,0.072,0.000,0.230,0.167,0.169,0.216,0.193,0.145,0.169,0.137,0.124,0.110,0.156,0.133
0.169,0.163,0.181,0.248,0.254,0.184,0.212,0.213,0.145,0.209,0.206,0.196,0.230,0.000,0.134,0.152,0.250,0.187,0.176,0.163,0.166,0.121,0.138,0.187,0.162
0.099,0.115,0.133,0.181,0.189,0.137,0.151,0.174,0.096,0.160,0.146,0.143,0.167,0.134,0.000,0.116,0.188,0.127,0.115,0.107,0.106,0.050,0.081,0.129,0.105
0.170,0.169,0.184,0.187,0.195,0.094,0.181,0.087,0.122,0.133,0.079,0.136,0.169,0.152,0.116,0.000,0.123,0.157,0.097,0.135,0.040,0.092,0.062,0.111,0.086
0.244,0.243,0.257,0.236,0.242,0.189,0.231,0.136,0.220,0.207,0.129,0.194,0.216,0.250,0.188,0.123,0.000,0.207,0.147,0.185,0.087,0.144,0.112,0.161,0.136
0.156,0.157,0.172,0.211,0.218,0.201,0.168,0.190,0.156,0.193,0.164,0.171,0.193,0.187,0.127,0.157,0.207,0.000,0.133,0.123,0.123,0.080,0.097,0.146,0.121
0.169,0.169,0.183,0.151,0.146,0.141,0.156,0.132,0.145,0.132,0.103,0.123,0.145,0.176,0.115,0.097,0.147,0.133,0.000,0.111,0.064,0.069,0.038,0.086,0.061
0.160,0.158,0.175,0.185,0.195,0.184,0.052,0.169,0.136,0.169,0.143,0.150,0.169,0.163,0.107,0.135,0.185,0.123,0.111,0.000,0.103,0.057,0.077,0.125,0.100
0.161,0.159,0.175,0.153,0.160,0.108,0.148,0.075,0.138,0.124,0.045,0.114,0.137,0.166,0.106,0.040,0.087,0.123,0.064,0.103,0.000,0.059,0.030,0.078,0.053
0.111,0.104,0.122,0.140,0.148,0.125,0.105,0.126,0.083,0.124,0.100,0.101,0.124,0.121,0.050,0.092,0.144,0.080,0.069,0.057,0.059,0.000,0.032,0.081,0.056
0.133,0.133,0.149,0.126,0.135,0.109,0.122,0.096,0.109,0.098,0.070,0.088,0.110,0.138,0.081,0.062,0.112,0.097,0.038,0.077,0.030,0.032,0.000,0.052,0.027
0.182,0.181,0.196,0.173,0.182,0.157,0.170,0.145,0.159,0.146,0.117,0.135,0.156,0.187,0.129,0.111,0.161,0.146,0.086,0.125,0.078,0.081,0.052,0.000,0.028
0.157,0.157,0.173,0.149,0.159,0.133,0.145,0.120,0.133,0.120,0.093,0.112,0.133,0.162,0.105,0.086,0.136,0.121,0.061,0.100,0.053,0.056,0.027,0.028,0.000
